title,title_tokens,title_total,abstract_count,abstract_relative,abstract_tokens,sent_0_count,sent_1_count,sent_2_count,sent_3_count,sent_4_count,sent_5_count,sent_6_count,sent_7_count,sent_8_count,sent_9_count
Usable Speech Assignment for Speaker Identification under Co-Channel  Situation,"['usable', 'speaker', 'situation', 'assignment', 'speech', 'co-channel', 'identification']",7,6,0.8571428571428571,"['usable', 'speaker', 'assignment', 'speech', 'co-channel', 'identification']",0.5714285714285714,0.5714285714285714,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.14285714285714285,-,-,-,-
Procedures for the relative calibration of the SiPM gain on ASTRI SST-2M  camera,"['camera', 'calibration', 'sipm', 'procedures', 'gain', 'astri', 'sst-2m', 'relative']",8,7,0.875,"['camera', 'calibration', 'sipm', 'procedures', 'gain', 'astri', 'sst-2m']",0.5,0.25,0.25,0.25,0.125,0.0,0.0,-,-,-
"Algebraic characterization of the SSC $\Delta_s(\mathcal{G}_{n,r}^{1})$","['algebraic', 'characterization', 'ssc', '$\\Delta_s(\\mathcal{G}_{n,r}^{1})$']",4,0,0.0,[],0.0,0.0,0.0,0.0,-,-,-,-,-,-
No-Regret Algorithms for Unconstrained Online Convex Optimization,"['convex', 'unconstrained', 'no-regret', 'optimization', 'online', 'algorithms']",6,5,0.8333333333333334,"['convex', 'unconstrained', 'optimization', 'online', 'algorithms']",0.6666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,-,-,-,-,-
A General Analytical Approximation to Impulse Response of 3-D  Microfluidic Channels in Molecular Communication,"['molecular', 'a', 'analytical', '3-d', 'response', 'channels', 'impulse', 'communication', 'microfluidic', 'general', 'approximation']",11,4,0.36363636363636365,"['3-d', 'response', 'impulse', 'microfluidic']",0.36363636363636365,0.18181818181818182,0.0,0.0,0.0,-,-,-,-,-
Maximizing Influence in Social Networks: A Two-Stage Stochastic  Programming Approach That Exploits Submodularity,"['a', 'social', 'two-stage', 'stochastic', 'programming', 'approach', 'networks', 'submodularity', 'maximizing', 'that', 'influence', 'exploits']",12,4,0.3333333333333333,"['two-stage', 'stochastic', 'submodularity', 'influence']",0.16666666666666666,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.0,0.0,0.0,-,-,-
Coloring with Words: Guiding Image Colorization Through Text-based  Palette Generation,"['colorization', 'palette', 'generation', 'text-based', 'image', 'through', 'guiding', 'words', 'coloring']",9,4,0.4444444444444444,"['colorization', 'palette', 'generation', 'image']",0.2222222222222222,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,-,-,-
Observations contradict galaxy size and surface brightness predictions  that are based on the expanding universe hypothesis,"['universe', 'hypothesis', 'contradict', 'size', 'based', 'expanding', 'galaxy', 'observations', 'brightness', 'predictions', 'surface']",11,9,0.8181818181818182,"['universe', 'hypothesis', 'size', 'based', 'expanding', 'galaxy', 'brightness', 'predictions', 'surface']",0.36363636363636365,0.36363636363636365,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.0,-,-
Phase Space dynamics of triaxial collapse: Joint density-velocity  evolution,"['triaxial', 'dynamics', 'collapse', 'space', 'phase', 'joint', 'density-velocity', 'evolution']",8,6,0.75,"['triaxial', 'dynamics', 'collapse', 'phase', 'density-velocity', 'evolution']",0.625,0.375,0.25,0.0,0.0,0.0,0.0,-,-,-
Block Tridiagonal Reduction of Perturbed Normal and Rank Structured  Matrices,"['matrices', 'reduction', 'perturbed', 'structured', 'block', 'tridiagonal', 'normal', 'rank']",8,5,0.625,"['matrices', 'perturbed', 'structured', 'tridiagonal', 'normal']",0.375,0.25,-,-,-,-,-,-,-,-
An axon initial segment is required for temporal precision in action  potential encoding by neuronal populations,"['encoding', 'precision', 'potential', 'populations', 'neuronal', 'axon', 'required', 'temporal', 'initial', 'action', 'segment', 'an']",12,7,0.5833333333333334,"['encoding', 'precision', 'neuronal', 'axon', 'initial', 'action', 'segment']",0.3333333333333333,0.16666666666666666,0.08333333333333333,0.0,0.0,-,-,-,-,-
On Partitioning Colored Points,"['colored', 'partitioning', 'on', 'points']",4,1,0.25,['points'],0.25,0.0,-,-,-,-,-,-,-,-
On a unified framework for linear nuisance parameters,"['parameters', 'unified', 'on', 'nuisance', 'framework', 'linear']",6,5,0.8333333333333334,"['parameters', 'unified', 'nuisance', 'framework', 'linear']",0.3333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,-,-,-
Robust Sign Language Recognition System Using ToF Depth Cameras,"['tof', 'language', 'system', 'sign', 'recognition', 'cameras', 'depth', 'using', 'robust']",9,9,1.0,"['tof', 'language', 'system', 'sign', 'recognition', 'cameras', 'depth', 'using', 'robust']",1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,-,-,-,-,-,-
Using a high-stability quartz-crystal microbalance to measure and model  the chemical kinetics for gases in and on metals: oxygen in gold,"['microbalance', 'kinetics', 'gases', 'quartz-crystal', 'oxygen', 'chemical', 'measure', 'gold', 'metals', 'using', 'high-stability', 'model']",12,9,0.75,"['microbalance', 'gases', 'quartz-crystal', 'oxygen', 'measure', 'gold', 'using', 'high-stability', 'model']",0.3333333333333333,0.25,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.0,-
PAMPC: Perception-Aware Model Predictive Control for Quadrotors,"['pampc', 'quadrotors', 'perception-aware', 'control', 'predictive', 'model']",6,4,0.6666666666666666,"['perception-aware', 'control', 'predictive', 'model']",0.6666666666666666,0.6666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,-
On the Nature of Unconfirmed Supernovae,"['on', 'nature', 'supernovae', 'unconfirmed']",4,3,0.75,"['nature', 'supernovae', 'unconfirmed']",0.75,0.25,0.0,-,-,-,-,-,-,-
Thompson's theorem for compact operators and diagonals of unitary  operators,"[""'s"", 'thompson', 'diagonals', 'operators', 'theorem', 'compact', 'unitary']",7,6,0.8571428571428571,"[""'s"", 'thompson', 'operators', 'theorem', 'compact', 'unitary']",0.8571428571428571,0.2857142857142857,-,-,-,-,-,-,-,-
Subtropical Satisfiability,"['subtropical', 'satisfiability']",2,1,0.5,['subtropical'],0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-
Bottom up synthesis of multifunctional nanoporous graphene,"['graphene', 'bottom', 'nanoporous', 'multifunctional', 'synthesis']",5,2,0.4,"['graphene', 'nanoporous']",0.4,0.2,0.2,0.0,0.0,-,-,-,-,-
Measurement-device-independent quantum key distribution with  ensemble-based memories,"['measurement-device-independent', 'ensemble-based', 'memories', 'key', 'distribution', 'quantum']",6,4,0.6666666666666666,"['ensemble-based', 'memories', 'key', 'quantum']",0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,-
Improving the Robustness of Capsule Networks to Image Affine  Transformations,"['transformations', 'robustness', 'affine', 'networks', 'capsule', 'image', 'improving']",7,4,0.5714285714285714,"['transformations', 'affine', 'networks', 'capsule']",0.2857142857142857,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0
Cyclic structure induced by load fluctuations in adaptive transportation  networks,"['induced', 'transportation', 'fluctuations', 'structure', 'adaptive', 'networks', 'load', 'cyclic']",8,3,0.375,"['fluctuations', 'structure', 'networks']",0.25,0.125,0.125,0.125,0.125,0.0,0.0,0.0,-,-
Forming Weakly Interacting Multi Layers of Graphene by using Atomic  Force Microscope Tip Scanning and Evidence of Competition Between Inner and  Outer Raman Scattering Processes Piloted by Structural Defects,"['weakly', 'scattering', 'piloted', 'inner', 'evidence', 'multi', 'outer', 'force', 'defects', 'forming', 'graphene', 'processes', 'atomic', 'raman', 'using', 'microscope', 'tip', 'layers', 'structural', 'competition', 'interacting', 'scanning', 'between']",23,12,0.5217391304347826,"['weakly', 'evidence', 'outer', 'defects', 'graphene', 'processes', 'raman', 'using', 'tip', 'layers', 'structural', 'interacting']",0.21739130434782608,0.17391304347826086,0.17391304347826086,0.08695652173913043,0.043478260869565216,0.0,-,-,-,-
On the genus of birational maps between 3-folds,"['maps', 'on', 'genus', 'birational', '3-folds']",5,3,0.6,"['genus', 'birational', '3-folds']",0.4,0.4,0.0,0.0,-,-,-,-,-,-
Multi-phase IRC Botnet and Botnet Behavior Detection Model,"['irc', 'botnet', 'multi-phase', 'behavior', 'detection', 'model']",6,5,0.8333333333333334,"['irc', 'botnet', 'multi-phase', 'behavior', 'model']",0.6666666666666666,0.6666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,-
Music and musical sonification for the rehabilitation of Parkinsonian  dysgraphia: Conceptual framework,"['dysgraphia', 'rehabilitation', 'music', 'parkinsonian', 'sonification', 'conceptual', 'framework', 'musical']",8,3,0.375,"['music', 'sonification', 'musical']",0.375,0.25,0.125,0.125,0.125,0.0,0.0,-,-,-
"Road obstacles positional and dynamic features extraction combining  object detection, stereo disparity maps and optical flow data","['maps', 'dynamic', 'disparity', 'flow', 'optical', 'extraction', 'obstacles', 'detection', 'object', 'features', 'combining', 'positional', 'road', 'stereo', 'data']",15,3,0.2,"['obstacles', 'detection', 'data']",0.13333333333333333,0.13333333333333333,0.06666666666666667,0.0,-,-,-,-,-,-
Automatic Vehicle Checking Agent (VCA),"['automatic', 'agent', 'vca', 'checking', 'vehicle']",5,5,1.0,"['automatic', 'agent', 'vca', 'checking', 'vehicle']",1.0,1.0,0.2,0.0,0.0,0.0,-,-,-,-
On extendibility of additive code isometries,"['additive', 'isometries', 'on', 'code', 'extendibility']",5,3,0.6,"['additive', 'isometries', 'code']",0.4,0.4,0.2,0.0,-,-,-,-,-,-
Probabilistic Modeling and Simulation of Transmission Line Temperatures  under Fluctuating Power Flows,"['line', 'flows', 'power', 'probabilistic', 'temperatures', 'transmission', 'modeling', 'simulation', 'fluctuating']",9,8,0.8888888888888888,"['flows', 'power', 'probabilistic', 'temperatures', 'transmission', 'modeling', 'simulation', 'fluctuating']",0.5555555555555556,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.0,-,-
How to complete light meson spectroscopy to M = 2410 MeV/c^2,"['m', 'light', '2410', 'meson', 'mev/c^2', 'spectroscopy', 'complete', 'how']",8,2,0.25,"['2410', 'complete']",0.25,0.0,0.0,-,-,-,-,-,-,-
Nasal Patches and Curves for Expression-robust 3D Face Recognition,"['3d', 'nasal', 'curves', 'recognition', 'face', 'expression-robust', 'patches']",7,5,0.7142857142857143,"['3d', 'nasal', 'curves', 'recognition', 'patches']",0.42857142857142855,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.0,0.0,0.0,-,-
SDCT-AuxNet$^{\theta}$: DCT Augmented Stain Deconvolutional CNN with  Auxiliary Classifier for Cancer Diagnosis,"['deconvolutional', 'dct', 'augmented', 'stain', 'classifier', 'auxiliary', 'cancer', 'cnn', 'sdct-auxnet', 'diagnosis', '$^{\\theta}$']",11,8,0.7272727272727273,"['stain', 'classifier', 'auxiliary', 'cancer', 'cnn', 'sdct-auxnet', 'diagnosis', '$^{\\theta}$']",0.45454545454545453,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.0
Importance of molecular interactions in colloidal dispersions,"['dispersions', 'colloidal', 'interactions', 'molecular', 'importance']",5,4,0.8,"['dispersions', 'colloidal', 'interactions', 'molecular']",0.6,0.4,0.0,-,-,-,-,-,-,-
Evolution of Primordial Stars Powered by Dark Matter Annihilation up to  the Main-Sequence Stage,"['primordial', 'matter', 'dark', 'main-sequence', 'annihilation', 'powered', 'stars', 'stage', 'evolution']",9,7,0.7777777777777778,"['primordial', 'matter', 'dark', 'annihilation', 'powered', 'stars', 'evolution']",0.4444444444444444,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.0,0.0
A new fractional derivative without singular kernel: Application to the  modelling of the steady heat flow,"['steady', 'a', 'new', 'kernel', 'flow', 'fractional', 'derivative', 'singular', 'modelling', 'application', 'heat', 'without']",12,5,0.4166666666666667,"['new', 'fractional', 'derivative', 'application', 'without']",0.3333333333333333,0.08333333333333333,0.0,-,-,-,-,-,-,-
Discovery of the First Low-Luminosity Quasar at z > 7,"['discovery', 'first', 'quasar', 'low-luminosity', '7']",5,4,0.8,"['discovery', 'first', 'quasar', '7']",0.6,0.4,0.4,0.4,0.0,0.0,0.0,-,-,-
Alternating lags of QPO harmonics : A Generic model and its application  to the 67 millihertz QPO of GRS 1915+105,"['grs', 'generic', 'harmonics', 'a', '1915+105', 'lags', 'qpo', 'alternating', 'application', 'millihertz', '67', 'model']",12,8,0.6666666666666666,"['generic', 'harmonics', 'a', 'lags', 'qpo', 'alternating', '67', 'model']",0.5833333333333334,0.5,0.16666666666666666,0.08333333333333333,0.0,-,-,-,-,-
Enhancement and tunability of near-field radiative heat transfer  mediated by surface plasmon polaritons in thin plasmonic films,"['enhancement', 'near-field', 'plasmonic', 'polaritons', 'transfer', 'plasmon', 'thin', 'tunability', 'radiative', 'heat', 'films', 'mediated', 'surface']",13,10,0.7692307692307693,"['enhancement', 'near-field', 'plasmonic', 'polaritons', 'transfer', 'thin', 'radiative', 'heat', 'films', 'surface']",0.46153846153846156,0.38461538461538464,0.38461538461538464,0.15384615384615385,0.15384615384615385,0.07692307692307693,0.0,-,-,-
The finite-width Laplace sum rules for $0^{++}$ scalar glueball in  instanton liquid model,"['glueball', 'scalar', 'rules', 'instanton', 'the', 'sum', 'laplace', 'liquid', 'finite-width', 'model', '$0^{++}$']",11,10,0.9090909090909091,"['glueball', 'scalar', 'rules', 'instanton', 'the', 'sum', 'laplace', 'liquid', 'finite-width', '$0^{++}$']",0.5454545454545454,0.45454545454545453,0.36363636363636365,0.18181818181818182,-,-,-,-,-,-
MIS: Multimodal Interaction Services in a cloud perspective,"['mis', 'multimodal', 'cloud', 'interaction', 'services', 'perspective']",6,4,0.6666666666666666,"['multimodal', 'cloud', 'interaction', 'services']",0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,-,-,-,-,-,-
Foreground Removal using FastICA: A Showcase of LOFAR-EoR,"['removal', 'a', 'foreground', 'showcase', 'lofar-eor', 'using', 'fastica']",7,1,0.14285714285714285,['fastica'],0.14285714285714285,0.0,0.0,0.0,-,-,-,-,-,-
The Complexity of Power Graphs Associated With Finite Groups,"['groups', 'power', 'finite', 'graphs', 'the', 'associated', 'complexity', 'with']",8,5,0.625,"['groups', 'power', 'finite', 'the', 'complexity']",0.375,0.25,0.125,0.0,-,-,-,-,-,-
Evidence for F(uzz) Theory,"['uzz', 'f', 'theory', 'evidence']",4,1,0.25,['theory'],0.25,0.25,0.0,0.0,0.0,0.0,-,-,-,-
Mechanical Design Improvement of a Passive Device to Assist Eating in  People Living with Movement Disorders,"['people', 'improvement', 'design', 'disorders', 'device', 'passive', 'living', 'mechanical', 'movement', 'assist', 'eating']",11,8,0.7272727272727273,"['people', 'design', 'disorders', 'device', 'living', 'movement', 'assist', 'eating']",0.5454545454545454,0.2727272727272727,0.09090909090909091,0.09090909090909091,-,-,-,-,-,-
Local observers on linear Lie groups with linear estimation error  dynamics,"['observers', 'local', 'groups', 'dynamics', 'estimation', 'error', 'lie', 'linear']",8,7,0.875,"['observers', 'local', 'dynamics', 'estimation', 'error', 'lie', 'linear']",0.5,0.375,0.375,0.375,0.25,0.125,0.125,0.0,0.0,-
Improved Approximation Algorithms for Segment Minimization in Intensity  Modulated Radiation Therapy,"['minimization', 'therapy', 'intensity', 'radiation', 'segment', 'modulated', 'approximation', 'improved', 'algorithms']",9,7,0.7777777777777778,"['minimization', 'therapy', 'intensity', 'radiation', 'segment', 'approximation', 'algorithms']",0.5555555555555556,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.1111111111111111,-,-,-,-,-
Cloud-based DDoS Attacks and Defenses,"['defenses', 'ddos', 'cloud-based', 'attacks']",4,2,0.5,"['ddos', 'attacks']",0.5,0.5,0.25,0.0,-,-,-,-,-,-
Velocity fields of a bed-load layer under a turbulent liquid flow,"['velocity', 'flow', 'turbulent', 'fields', 'liquid', 'bed-load', 'layer']",7,4,0.5714285714285714,"['flow', 'turbulent', 'liquid', 'bed-load']",0.2857142857142857,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0
A simple and efficient numerical method for computing the dynamics of  rotating Bose-Einstein condensates via a rotating Lagrangian coordinate,"['simple', 'bose-einstein', 'a', 'via', 'dynamics', 'condensates', 'computing', 'coordinate', 'efficient', 'rotating', 'lagrangian', 'numerical', 'method']",13,12,0.9230769230769231,"['simple', 'bose-einstein', 'via', 'dynamics', 'condensates', 'computing', 'coordinate', 'efficient', 'rotating', 'lagrangian', 'numerical', 'method']",0.6153846153846154,0.3076923076923077,0.3076923076923077,0.23076923076923078,0.15384615384615385,0.07692307692307693,0.07692307692307693,-,-,-
Multiple scattering by cylinders immersed in fluid: high order  approximations for the effective wavenumbers,"['scattering', 'cylinders', 'approximations', 'high', 'multiple', 'order', 'effective', 'immersed', 'wavenumbers', 'fluid']",10,3,0.3,"['order', 'effective', 'fluid']",0.1,0.1,0.1,0.1,0.0,0.0,-,-,-,-
Using a high-stability quartz-crystal microbalance to measure and model  the chemical kinetics for gases in and on metals: oxygen in gold,"['microbalance', 'kinetics', 'gases', 'quartz-crystal', 'oxygen', 'chemical', 'measure', 'gold', 'metals', 'using', 'high-stability', 'model']",12,9,0.75,"['microbalance', 'gases', 'quartz-crystal', 'oxygen', 'measure', 'gold', 'using', 'high-stability', 'model']",0.3333333333333333,0.25,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.0,-
Community Detection Across Multiple Social Networks based on Overlapping  Users,"['community', 'social', 'based', 'overlapping', 'users', 'networks', 'multiple', 'detection', 'across']",9,9,1.0,"['community', 'social', 'based', 'overlapping', 'users', 'networks', 'multiple', 'detection', 'across']",1.0,0.6666666666666666,0.4444444444444444,0.3333333333333333,0.2222222222222222,0.0,-,-,-,-
Gravitating tensor monopole in a Lorentz-violating field theory,"['lorentz-violating', 'theory', 'gravitating', 'monopole', 'field', 'tensor']",6,2,0.3333333333333333,"['field', 'tensor']",0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,-,-,-,-,-,-
Translational and rotational dynamics of a self-propelled Janus probe in  crowded environments,"['environments', 'probe', 'rotational', 'dynamics', 'crowded', 'janus', 'self-propelled', 'translational']",8,8,1.0,"['environments', 'probe', 'rotational', 'dynamics', 'crowded', 'janus', 'self-propelled', 'translational']",0.625,0.5,0.5,0.375,0.375,0.25,0.125,0.0,0.0,-
Energy partition in low energy fission,"['partition', 'low', 'energy', 'fission']",4,2,0.5,"['energy', 'fission']",0.5,0.5,0.25,0.0,0.0,0.0,0.0,-,-,-
Local System Voting Feature for Machine Translation System Combination,"['local', 'combination', 'feature', 'voting', 'system', 'machine', 'translation']",7,4,0.5714285714285714,"['local', 'combination', 'voting', 'system']",0.42857142857142855,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.0,-,-,-,-
Cutting plane oracles for non-smooth trust-regions,"['non-smooth', 'plane', 'cutting', 'trust-regions', 'oracles']",5,1,0.2,['cutting'],0.2,0.0,0.0,0.0,-,-,-,-,-,-
Soft L_e-L_mu-L_tau flavour symmetry breaking and sterile neutrino keV  Dark Matter,"['symmetry', 'breaking', 'matter', 'dark', 'kev', 'l_e-l_mu-l_tau', 'flavour', 'neutrino', 'sterile', 'soft']",10,8,0.8,"['symmetry', 'breaking', 'matter', 'dark', 'kev', 'flavour', 'neutrino', 'sterile']",0.5,0.4,0.2,0.0,0.0,-,-,-,-,-
A Hop-by-hop Cross-layer Congestion Control Scheme for Wireless Sensor  Networks,"['hop-by-hop', 'a', 'scheme', 'wireless', 'networks', 'cross-layer', 'sensor', 'control', 'congestion']",9,7,0.7777777777777778,"['scheme', 'wireless', 'networks', 'cross-layer', 'sensor', 'control', 'congestion']",0.4444444444444444,0.3333333333333333,0.1111111111111111,0.0,-,-,-,-,-,-
Approximation Complexity of Complex-Weighted Degree-Two Counting  Constraint Satisfaction Problems,"['constraint', 'complex-weighted', 'degree-two', 'counting', 'satisfaction', 'problems', 'complexity', 'approximation']",8,6,0.75,"['constraint', 'complex-weighted', 'counting', 'satisfaction', 'problems', 'complexity']",0.625,0.375,0.25,0.25,0.125,-,-,-,-,-
Equidistribution of dilated curves on nilmanifolds,"['nilmanifolds', 'curves', 'dilated', 'equidistribution']",4,1,0.25,['equidistribution'],0.25,0.0,0.0,-,-,-,-,-,-,-
Supercuspidal characters of $\operatorname{SL}_2$ over a $p$-adic field,"['supercuspidal', '-adic', 'characters', '$\\operatorname{SL}_2$', 'field', '$p$']",6,2,0.3333333333333333,"['$\\operatorname{SL}_2$', '$p$']",0.16666666666666666,0.16666666666666666,0.0,-,-,-,-,-,-,-
The momentum distribution of J/psi in B decays,"['decays', 'b', 'j/psi', 'the', 'momentum', 'distribution']",6,6,1.0,"['decays', 'b', 'j/psi', 'the', 'momentum', 'distribution']",0.8333333333333334,0.5,0.0,-,-,-,-,-,-,-
The serendipity family of finite elements,"['family', 'finite', 'the', 'elements', 'serendipity']",5,2,0.4,"['family', 'the']",0.2,0.2,0.0,-,-,-,-,-,-,-
Crack initiation of printed lines predicted with digital image  correlation,"['initiation', 'printed', 'digital', 'lines', 'crack', 'predicted', 'image', 'correlation']",8,4,0.5,"['initiation', 'printed', 'crack', 'correlation']",0.375,0.125,0.0,0.0,0.0,-,-,-,-,-
Handling Syntactic Divergence in Low-resource Machine Translation,"['low-resource', 'machine', 'handling', 'divergence', 'translation', 'syntactic']",6,3,0.5,"['low-resource', 'machine', 'translation']",0.3333333333333333,0.16666666666666666,0.0,0.0,-,-,-,-,-,-
An Overview of High-Altitude Balloon Experiments at the Indian Institute  of Astrophysics,"['balloon', 'overview', 'astrophysics', 'experiments', 'institute', 'high-altitude', 'an', 'indian']",8,6,0.75,"['balloon', 'overview', 'astrophysics', 'experiments', 'high-altitude', 'indian']",0.375,0.25,0.125,0.0,0.0,0.0,0.0,0.0,-,-
TJU-DHD: A Diverse High-Resolution Dataset for Object Detection,"['dataset', 'a', 'tju-dhd', 'diverse', 'high-resolution', 'object', 'detection']",7,6,0.8571428571428571,"['dataset', 'tju-dhd', 'diverse', 'high-resolution', 'object', 'detection']",0.5714285714285714,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.0,0.0,0.0
A Praise for Defensive Programming: Leveraging Uncertainty for Effective  Malware Mitigation,"['praise', 'malware', 'a', 'programming', 'leveraging', 'effective', 'defensive', 'mitigation', 'uncertainty']",9,3,0.3333333333333333,"['malware', 'a', 'uncertainty']",0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.0
On the Russo-Dye Theorem for positive linear maps,"['maps', 'positive', 'on', 'theorem', 'russo-dye', 'linear']",6,3,0.5,"['theorem', 'russo-dye', 'linear']",0.5,-,-,-,-,-,-,-,-,-
Stress Evolution in Lithium-ion Composite Electrodes during  Electrochemical Cycling and Resulting Internal Pressures on the Cell Casing,"['pressures', 'electrochemical', 'cell', 'internal', 'stress', 'composite', 'lithium-ion', 'cycling', 'electrodes', 'resulting', 'casing', 'evolution']",12,9,0.75,"['pressures', 'electrochemical', 'cell', 'internal', 'stress', 'composite', 'lithium-ion', 'electrodes', 'evolution']",0.4166666666666667,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.08333333333333333,-,-,-
Improper Colourings inspired by Hadwiger's Conjecture,"['improper', ""'s"", 'colourings', 'conjecture', 'inspired', 'hadwiger']",6,4,0.6666666666666666,"[""'s"", 'colourings', 'conjecture', 'hadwiger']",0.6666666666666666,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-
Using a high-stability quartz-crystal microbalance to measure and model  the chemical kinetics for gases in and on metals: oxygen in gold,"['microbalance', 'kinetics', 'gases', 'quartz-crystal', 'oxygen', 'chemical', 'measure', 'gold', 'metals', 'using', 'high-stability', 'model']",12,9,0.75,"['microbalance', 'gases', 'quartz-crystal', 'oxygen', 'measure', 'gold', 'using', 'high-stability', 'model']",0.3333333333333333,0.25,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.0,-
PRED18: Dataset and Further Experiments with DAVIS Event Camera in  Predator-Prey Robot Chasing,"['pred18', 'dataset', 'further', 'event', 'camera', 'davis', 'predator-prey', 'robot', 'chasing', 'experiments']",10,4,0.4,"['dataset', 'camera', 'davis', 'robot']",0.2,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,-
